dataset,n_sample,noise_level,clf_type,acc_train,std_train,acc_valid,std_valid,acc_diff,C,gamma
circles,10,0.0,log_reg,0.7,0.051,0.7,0.458,0.0,0.001,0.0
circles,10,0.0,log_reg,0.7,0.051,0.7,0.458,0.0,0.01,0.0
circles,10,0.0,log_reg,0.7,0.051,0.7,0.458,0.0,0.1,0.0
circles,10,0.0,log_reg,0.644,0.109,0.6,0.49,0.044,1.0,0.0
circles,10,0.0,log_reg,0.767,0.126,0.6,0.49,0.167,10.0,0.0
circles,10,0.0,log_reg,0.789,0.116,0.7,0.458,0.089,100.0,0.0
circles,10,0.0,log_reg,0.789,0.116,0.7,0.458,0.089,1000.0,0.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,0.0001
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,0.001
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,0.01
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,0.1
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,1.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,2.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,5.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,10.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,25.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,50.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,100.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,250.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,500.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,0.1,1000.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,1.0,0.0001
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,1.0,0.001
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,1.0,0.01
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,1.0,0.1
circles,10,0.0,svm,0.878,0.06,0.5,0.5,0.378,1.0,1.0
circles,10,0.0,svm,0.9,0.06,0.5,0.5,0.4,1.0,2.0
circles,10,0.0,svm,0.922,0.051,0.6,0.49,0.322,1.0,5.0
circles,10,0.0,svm,0.944,0.056,0.6,0.49,0.344,1.0,10.0
circles,10,0.0,svm,1.0,0.0,0.6,0.49,0.4,1.0,25.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,1.0,50.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,1.0,100.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,1.0,250.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,1.0,500.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,1.0,1000.0
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,10.0,0.0001
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,10.0,0.001
circles,10,0.0,svm,0.7,0.051,0.7,0.458,0.0,10.0,0.01
circles,10,0.0,svm,0.822,0.074,0.5,0.5,0.322,10.0,0.1
circles,10,0.0,svm,0.911,0.044,0.7,0.458,0.211,10.0,1.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,10.0,2.0
circles,10,0.0,svm,1.0,0.0,0.6,0.49,0.4,10.0,5.0
circles,10,0.0,svm,1.0,0.0,0.6,0.49,0.4,10.0,10.0
circles,10,0.0,svm,1.0,0.0,0.6,0.49,0.4,10.0,25.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,10.0,50.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,10.0,100.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,10.0,250.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,10.0,500.0
circles,10,0.0,svm,1.0,0.0,0.7,0.458,0.3,10.0,1000.0
circles,50,0.0,log_reg,0.54,0.028,0.54,0.254,0.0,0.001,0.0
circles,50,0.0,log_reg,0.54,0.017,0.54,0.156,0.0,0.01,0.0
circles,50,0.0,log_reg,0.536,0.032,0.48,0.133,0.056,0.1,0.0
circles,50,0.0,log_reg,0.553,0.042,0.26,0.128,0.293,1.0,0.0
circles,50,0.0,log_reg,0.542,0.04,0.38,0.244,0.162,10.0,0.0
circles,50,0.0,log_reg,0.556,0.044,0.36,0.12,0.196,100.0,0.0
circles,50,0.0,log_reg,0.549,0.058,0.3,0.241,0.249,1000.0,0.0
circles,50,0.0,svm,0.542,0.018,0.44,0.196,0.102,0.1,0.0001
circles,50,0.0,svm,0.544,0.025,0.34,0.237,0.204,0.1,0.001
circles,50,0.0,svm,0.54,0.024,0.54,0.22,0.0,0.1,0.01
circles,50,0.0,svm,0.542,0.033,0.44,0.32,0.102,0.1,0.1
circles,50,0.0,svm,0.54,0.022,0.54,0.201,0.0,0.1,1.0
circles,50,0.0,svm,0.542,0.025,0.44,0.25,0.102,0.1,2.0
circles,50,0.0,svm,0.54,0.026,0.54,0.237,0.0,0.1,5.0
circles,50,0.0,svm,0.54,0.022,0.54,0.201,0.0,0.1,10.0
circles,50,0.0,svm,0.54,0.024,0.54,0.22,0.0,0.1,25.0
circles,50,0.0,svm,0.542,0.035,0.44,0.332,0.102,0.1,50.0
circles,50,0.0,svm,0.54,0.024,0.54,0.22,0.0,0.1,100.0
circles,50,0.0,svm,0.54,0.028,0.54,0.254,0.0,0.1,250.0
circles,50,0.0,svm,0.542,0.03,0.44,0.294,0.102,0.1,500.0
circles,50,0.0,svm,0.542,0.02,0.44,0.215,0.102,0.1,1000.0
circles,50,0.0,svm,0.54,0.02,0.54,0.18,0.0,1.0,0.0001
circles,50,0.0,svm,0.54,0.03,0.54,0.269,0.0,1.0,0.001
circles,50,0.0,svm,0.542,0.018,0.44,0.196,0.102,1.0,0.01
circles,50,0.0,svm,0.54,0.028,0.46,0.22,0.08,1.0,0.1
circles,50,0.0,svm,0.891,0.052,0.76,0.196,0.131,1.0,1.0
circles,50,0.0,svm,0.911,0.017,0.88,0.133,0.031,1.0,2.0
circles,50,0.0,svm,0.949,0.014,0.84,0.15,0.109,1.0,5.0
circles,50,0.0,svm,0.989,0.02,0.84,0.08,0.149,1.0,10.0
circles,50,0.0,svm,1.0,0.0,0.9,0.1,0.1,1.0,25.0
circles,50,0.0,svm,1.0,0.0,0.86,0.156,0.14,1.0,50.0
circles,50,0.0,svm,1.0,0.0,0.84,0.15,0.16,1.0,100.0
circles,50,0.0,svm,1.0,0.0,0.78,0.108,0.22,1.0,250.0
